2024-08-31 13:19:07,555 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:19:08,320 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:19:08,543 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:19:09,042 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:20:13,644 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:20:14,623 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:20:15,017 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:20:15,591 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:21:43,601 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:21:44,308 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:21:44,743 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:21:45,229 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:22:49,082 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:22:49,793 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:22:50,109 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:22:50,583 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:24:13,695 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:24:14,339 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:24:14,599 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:24:15,092 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:24:46,170 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:24:46,907 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:24:47,226 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:24:47,934 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:25:52,374 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:25:53,397 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
